[00:39:29.531] [info] [Node 0] starting on 127.0.0.1:50050
[00:39:29.531] [info] [Node 0] config: peers=3, data_dir=/home/zmagex/5.Projects/raft_based_kv_storage/my_raftkv/data/node0, election_timeout=[300,500]ms, heartbeat=30ms, max_state=8388608B
[00:39:29.533] [info] [Node 0] gRPC server listening on 127.0.0.1:50050
[00:39:29.950] [info] [Node 0] [term=1] [Candidate] starting election
[00:39:29.952] [debug] [Node 0] [term=1] [Candidate] rejected vote for Node 1
[00:39:29.954] [info] [Node 0] [term=1] [Leader] became leader
[00:39:29.956] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:29.957] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:29.959] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:29.959] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:29.989] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:29.989] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.019] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.019] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.049] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.049] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.079] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.080] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.109] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.110] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.140] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.140] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.170] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.170] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.200] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:30.200] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.232] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:30.233] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
