[19:33:13.438] [info] [Node 1] starting on 127.0.0.1:50051
[19:33:13.438] [info] [Node 1] config: peers=3, data_dir=/data/coding/raft_based_kv_storage/my_raftkv/data/node1, election_timeout=[300,500]ms, heartbeat=30ms, max_state=8388608B
[19:33:13.440] [info] gRPC server listening on 127.0.0.1:50051
[19:33:13.752] [info] [Node 1] [term=4] [Candidate] starting election
[19:33:13.754] [info] [Node 1] [term=4] [Leader] became leader
[19:33:13.755] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.755] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:13.771] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.771] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:13.801] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.801] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:13.831] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.831] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:13.861] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.861] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:13.892] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.892] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:13.922] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.922] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:13.952] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.952] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:13.983] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:13.983] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.013] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.013] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.043] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.043] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.074] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.074] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.104] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.104] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.134] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.134] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.164] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.165] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.195] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.195] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.225] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
[19:33:14.225] [debug] [Node 1] [term=4] [Leader] replicated to Node 2, matchIndex=0
[19:33:14.255] [debug] [Node 1] [term=4] [Leader] replicated to Node 0, matchIndex=0
